ComponentSymbol,PositionLimit
A,13500
AA,13500
AABA,13500
AAL,13500
AAN,13500
AAP,13500
AAPL,-1
AAXJ,13500
AAXN,13500
AB,13500
ABB,13500
ABBV,13500
ABC,13500
ABEV,22500
ABMD,13500
ABT,13500
ABX,13500
ACAD,13500
ACC,13500
ACGL,13500
ACH,13500
ACHC,13500
ACIA,13500
ACM,13500
ACN,13500
ACWI,13500
ADBE,13500
ADI,13500
ADM,13500
ADP,13500
ADS,13500
ADSK,13500
ADTN,13500
AEE,13500
AEGN,13500
AEM,13500
AEO,13500
AEP,13500
AER,13500
AES,13500
AET,13500
AFG,13500
AFL,13500
AFSI,13500
AGCO,13500
AGG,13500
AGIO,13500
AGM,13500
AGN,13500
AGNC,13500
AGO,13500
AGU,13500
AGX,13500
AHGP,13500
AHL,13500
AI,13500
AIG,13500
AINV,13500
AIR,13500
AIT,13500
AIV,13500
AIZ,13500
AJG,13500
AKAM,13500
AKRX,13500
AKS,22500
AL,13500
ALB,13500
ALGN,13500
ALK,13500
ALKS,13500
ALL,13500
ALLE,13500
ALLY,13500
ALNY,13500
ALSN,13500
ALV,13500
ALXN,13500
AM,13500
AMAG,13500
AMAT,13500
AMBA,13500
AMCX,13500
AMD,-1
AME,13500
AMED,13500
AMG,13500
AMGN,13500
AMH,13500
AMJ,13500
AMLP,13500
AMN,13500
AMP,13500
AMT,13500
AMTD,13500
AMWD,13500
AMX,13500
AMZN,13500
AN,13500
ANAT,13500
ANDV,13500
ANDX,13500
ANET,13500
ANF,13500
ANGI,13500
ANSS,13500
ANTM,13500
AOBC,13500
AON,13500
AOS,13500
APA,13500
APAM,13500
APC,13500
APD,13500
APEI,13500
APF,13500
APH,13500
APLE,13500
APO,13500
APOG,13500
APTV,13500
APU,13500
AR,13500
ARCC,13500
ARCO,13500
ARE,13500
ARI,13500
ARLP,13500
ARMK,13500
ARNC,13500
ARR,13500
ARRS,13500
ARW,13500
ASB,13500
ASH,13500
ASTE,13500
ASX,13500
ATGE,13500
ATHN,13500
ATI,13500
ATO,13500
ATR,13500
ATVI,13500
AU,13500
AVA,13500
AVB,13500
AVGO,13500
AVP,13500
AVT,13500
AVY,13500
AWI,13500
AWK,13500
AXP,13500
AXS,13500
AXTA,13500
AYI,13500
AZN,13500
AZO,13500
B,13500
BA,13500
BABA,22500
BAC,-1
BAH,13500
BAK,13500
BAM,13500
BAX,13500
BB,13500
BBBY,13500
BBD,13500
BBT,13500
BBVA,13500
BBY,13500
BC,13500
BCE,13500
BCS,13500
BDN,13500
BDX,13500
BEL,13500
BEN,13500
BF/A,13500
BF/B,13500
BG,13500
BGFV,13500
BGG,13500
BHF,13500
BHGE,13500
BHP,13500
BIDU,13500
BIG,13500
BIIB,13500
BIL,13500
BIO,13500
BIP,13500
BJRI,13500
BK,13500
BKD,13500
BKE,13500
BKEP,13500
BKF,13500
BKI,13500
BKLN,13500
BKS,13500
BKU,13500
BLK,13500
BLL,13500
BLMN,13500
BLUE,13500
BLX,13500
BMO,13500
BMRN,13500
BMS,13500
BMY,13500
BND,13500
BNS,13500
BOFI,13500
BOH,13500
BOKF,13500
BOND,13500
BOTZ,13500
BP,13500
BPI,13500
BPL,13500
BPOP,13500
BR,13500
BRF,13500
BRFS,13500
BRK/B,13500
BRKR,13500
BRO,13500
BRX,13500
BSAC,13500
BSBR,13500
BSX,13500
BTI,13500
BUD,13500
BURL,13500
BVN,13500
BWA,13500
BWLD,13500
BWP,13500
BWX,13500
BWXT,13500
BX,13500
BXP,13500
BXS,13500
BYD,13500
BZH,13500
C,22500
CA,13500
CAA,13500
CACC,13500
CAG,13500
CAH,13500
CAKE,13500
CALL,13500
CAR,13500
CARA,13500
CAT,13500
CAVM,13500
CB,13500
CBD,13500
CBG,13500
CBI,13500
CBL,13500
CBOE,13500
CBRL,13500
CBS,13500
CBSH,13500
CBT,13500
CCC,13500
CCE,13500
CCI,13500
CCJ,13500
CCK,13500
CCL,13500
CCO,13500
CDE,13500
CDEV,13500
CDK,13500
CDNS,13500
CDR,13500
CDW,13500
CE,13500
CELG,13500
CENX,13500
CEQP,13500
CERN,13500
CF,13500
CFFN,13500
CFG,13500
CFR,13500
CFX,13500
CG,13500
CGNX,13500
CHD,13500
CHH,13500
CHK,-1
CHKP,13500
CHL,13500
CHRW,13500
CHS,13500
CHT,13500
CHTR,13500
CI,13500
CIB,13500
CIEN,13500
CIM,13500
CINF,13500
CIO,13500
CIT,13500
CIU,13500
CL,13500
CLF,13500
CLGX,13500
CLH,13500
CLMT,13500
CLR,13500
CLS,13500
CLX,13500
CLY,13500
CM,13500
CMA,13500
CMC,13500
CMCSA,-1
CME,13500
CMG,13500
CMI,13500
CMO,13500
CMP,13500
CMPR,13500
CMS,13500
CNA,13500
CNC,13500
CNI,13500
CNK,13500
CNO,13500
CNP,13500
CNQ,13500
CNSL,13500
CNX,13500
COF,13500
COG,13500
COL,13500
COLM,13500
COMM,13500
COO,13500
COP,13500
CORP,13500
COST,13500
COTY,13500
CP,13500
CPA,13500
CPB,13500
CPL,13500
CPLA,13500
